x,observed_count,prime_count,density_drift,name,scenario
179138,17871,16260,0.09907749077490775,noise_10,noise
200000,19782,17984,0.09997775800711743,noise_10,noise
100,25,25,0.0,noise_25,noise
111,29,29,0.0,noise_25,noise
124,30,30,0.0,noise_25,noise
139,34,34,0.0,noise_25,noise
155,36,36,0.0,noise_25,noise
173,41,40,0.025,noise_25,noise
193,46,44,0.045454545454545456,noise_25,noise
216,49,47,0.0425531914893617,noise_25,noise
241,55,53,0.03773584905660377,noise_25,noise
269,59,57,0.03508771929824561,noise_25,noise
300,64,62,0.03225806451612903,noise_25,noise
335,69,67,0.029850746268656716,noise_25,noise
375,79,74,0.06756756756756757,noise_25,noise
418,86,80,0.075,noise_25,noise
467,97,91,0.06593406593406594,noise_25,noise
521,106,98,0.08163265306122448,noise_25,noise
582,116,106,0.09433962264150944,noise_25,noise
650,130,118,0.1016949152542373,noise_25,noise
726,145,128,0.1328125,noise_25,noise
810,159,140,0.1357142857142857,noise_25,noise
905,176,154,0.14285714285714285,noise_25,noise
1010,194,169,0.14792899408284024,noise_25,noise
1128,215,188,0.14361702127659576,noise_25,noise
1259,236,205,0.15121951219512195,noise_25,noise
1406,254,222,0.14414414414414414,noise_25,noise
1570,285,247,0.15384615384615385,noise_25,noise
1753,316,273,0.1575091575091575,noise_25,noise
1957,345,297,0.16161616161616163,noise_25,noise
2185,380,327,0.1620795107033639,noise_25,noise
2439,418,361,0.15789473684210525,noise_25,noise
2724,460,397,0.15869017632241814,noise_25,noise
3041,505,436,0.15825688073394495,noise_25,noise
3395,558,478,0.16736401673640167,noise_25,noise
3790,615,526,0.16920152091254753,noise_25,noise
4232,674,580,0.16206896551724137,noise_25,noise
4725,743,637,0.1664050235478807,noise_25,noise
5275,818,699,0.17024320457796852,noise_25,noise
5890,911,775,0.17548387096774193,noise_25,noise
6575,996,850,0.17176470588235293,noise_25,noise
7341,1102,935,0.1786096256684492,noise_25,noise
8196,1208,1028,0.17509727626459143,noise_25,noise
9151,1337,1134,0.17901234567901234,noise_25,noise
10216,1470,1253,0.17318435754189945,noise_25,noise
11406,1616,1376,0.1744186046511628,noise_25,noise
12735,1784,1519,0.17445687952600394,noise_25,noise
14218,1967,1671,0.17713943746259725,noise_25,noise
15874,2181,1848,0.18019480519480519,noise_25,noise
17722,2413,2034,0.1863323500491642,noise_25,noise
19786,2666,2239,0.19071013845466725,noise_25,noise
22090,2947,2475,0.1907070707070707,noise_25,noise
24663,3259,2730,0.19377289377289378,noise_25,noise
27535,3605,3007,0.19886930495510474,noise_25,noise
30742,3980,3315,0.20060331825037708,noise_25,noise
34322,4396,3668,0.1984732824427481,noise_25,noise
38319,4851,4044,0.19955489614243324,noise_25,noise
42781,5394,4473,0.20590207914151576,noise_25,noise
47763,5946,4923,0.20780012187690433,noise_25,noise
53325,6602,5439,0.2138260709689281,noise_25,noise
59535,7313,6018,0.21518777002326353,noise_25,noise
66469,8068,6628,0.21726010863005432,noise_25,noise
74209,8950,7323,0.22217670353680186,noise_25,noise
82851,9918,8097,0.22489811041126342,noise_25,noise
92500,10985,8935,0.22943480693900392,noise_25,noise
103272,12176,9872,0.233387358184765,noise_25,noise
115298,13487,10895,0.23790729692519505,noise_25,noise
128725,14929,12051,0.2388183553232097,noise_25,noise
