state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
2,2,7,0.1319796954314721,0.12598721323805942,0.005992482193412668,0.005992482193412668,2167
6,5,6,0.11513859275053305,0.12109815720195562,-0.0059595644514225665,0.0059595644514225665,2345
5,3,7,0.12825112107623318,0.12238757857411486,0.0058635425021183185,0.0058635425021183185,2230
3,5,6,0.12691771269177127,0.12109815720195562,0.00581955548981565,0.00581955548981565,2151
6,6,6,0.11326714801444043,0.11905657336270349,-0.005789425348263058,0.005789425348263058,2216
5,0,6,0.1239523599470666,0.1297410551198023,-0.005788695172735697,0.005788695172735697,2267
7,5,3,0.12553905126976522,0.11980873582979638,0.005730315439968839,0.005730315439968839,2087
6,1,3,0.11457174638487208,0.10884865416644281,0.005723092218429274,0.005723092218429274,2697
4,0,5,0.11951480556546558,0.12522832276780918,-0.0057135172023436015,0.0057135172023436015,2803
0,6,0,0.13167701863354037,0.12598721323805942,0.005689805395480946,0.005689805395480946,2415
2,7,7,0.10959488272921108,0.10395401310841303,0.0056408696207980585,0.0056408696207980585,2345
1,2,7,0.12035541195476575,0.12598721323805942,-0.005631801283293672,0.005631801283293672,2476
7,6,4,0.10488846701471286,0.1105141567721485,-0.005625689757435645,0.005625689757435645,2107
3,1,6,0.14964610717896865,0.14403911244828882,0.005606994730679826,0.005606994730679826,1978
2,3,4,0.15854998169168802,0.1530113361628969,0.005538645528791131,0.005538645528791131,2731
3,1,1,0.06774519716885744,0.07328211465105035,-0.005536917482192913,0.005536917482192913,1978
7,1,4,0.1047808764940239,0.11029925321012196,-0.005518376716098061,0.005518376716098061,2510
4,1,6,0.13852178169358786,0.14403911244828882,-0.005517330754700955,0.005517330754700955,2043
0,6,2,0.125879917184265,0.1313060763982163,-0.005426159213951287,0.005426159213951287,2415
4,4,2,0.10967408173823073,0.10428195347337882,0.005392128264851914,0.005392128264851914,1933
3,3,1,0.11163670766319773,0.10626981142212433,0.005366896241073407,0.005366896241073407,2114
0,6,4,0.105175983436853,0.1105141567721485,-0.005338173335295501,0.005338173335295501,2415
5,6,2,0.12599822537710736,0.1313060763982163,-0.0053078510211089225,0.0053078510211089225,2254
2,5,6,0.12636932707355242,0.12109815720195562,0.005271169871596801,0.005271169871596801,2556
6,5,7,0.1091684434968017,0.11443614677913286,-0.005267703282331157,0.005267703282331157,2345
6,3,0,0.10667786644267115,0.11191102992532101,-0.0052331634826498635,0.0052331634826498635,2381
6,3,7,0.11717765644687106,0.12238757857411486,-0.0052099221272438045,0.0052099221272438045,2381
1,7,6,0.1184,0.11319436982916084,0.005205630170839165,0.005205630170839165,2500
7,3,7,0.1171945701357466,0.12238757857411486,-0.005193008438368257,0.005193008438368257,2210
4,4,7,0.13191929643041903,0.1267393757051523,0.005179920725266712,0.005179920725266712,1933
6,6,3,0.12274368231046931,0.12792134529629828,-0.0051776629858289736,0.0051776629858289736,2216
7,0,4,0.1418194396402629,0.1469324164607285,-0.005112976820465603,0.005112976820465603,2891
0,6,5,0.12091097308488613,0.12598721323805942,-0.005076240153173289,0.005076240153173289,2415
5,3,5,0.12062780269058296,0.1155643904797722,0.005063412210810761,0.005063412210810761,2230
1,6,1,0.13987318164863857,0.144898726696395,-0.00502554504775643,0.00502554504775643,2681
4,0,0,0.06707099536211203,0.06210379284409584,0.004967202518016189,0.004967202518016189,2803
1,2,2,0.11147011308562198,0.11642400472787837,-0.004953891642256389,0.004953891642256389,2476
1,6,6,0.11413651622528907,0.11905657336270349,-0.004920057137414419,0.004920057137414419,2681
3,3,5,0.11069063386944182,0.1155643904797722,-0.0048737566103303764,0.0048737566103303764,2114
5,5,3,0.12466124661246612,0.11980873582979638,0.004852510782669739,0.004852510782669739,2214
1,2,6,0.1280290791599354,0.13286412722290872,-0.0048350480629733295,0.0048350480629733295,2476
3,1,0,0.16936299292214357,0.17417933702251115,-0.0048163441003675755,0.0048163441003675755,1978
3,7,7,0.09920983318700614,0.10395401310841303,-0.0047441799214068825,0.0047441799214068825,2278
1,7,3,0.114,0.11872783926077146,-0.0047278392607714576,0.0047278392607714576,2500
2,1,0,0.17884231536926148,0.17417933702251115,0.004662978346750335,0.004662978346750335,2505
7,4,4,0.10851419031719532,0.10385214634932574,0.004662043967869581,0.004662043967869581,2396
3,7,5,0.11676909569798069,0.11211990974535296,0.004649185952627727,0.004649185952627727,2278
6,2,7,0.13052373158756136,0.12598721323805942,0.0045365183495019445,0.0045365183495019445,2444
7,0,5,0.12071947423037012,0.12522832276780918,-0.004508848537439061,0.004508848537439061,2891
2,6,6,0.12333198544278205,0.11905657336270349,0.004275412080078561,0.004275412080078561,2473
7,4,2,0.10851419031719532,0.10428195347337882,0.004232236843816503,0.004232236843816503,2396
1,7,0,0.1512,0.15531320511443,-0.004113205114430002,0.004113205114430002,2500
6,6,1,0.1407942238267148,0.144898726696395,-0.004104502869680199,0.004104502869680199,2216
5,1,7,0.13025384935497294,0.13431472626658786,-0.0040608769116149135,0.0040608769116149135,2403
4,7,5,0.11615091140313692,0.11211990974535296,0.004031001657783959,0.004031001657783959,2359
3,3,6,0.12488174077578051,0.12888841132541773,-0.004006670549637215,0.004006670549637215,2114
0,2,6,0.1368653421633554,0.13286412722290872,0.004001214940446696,0.004001214940446696,1812
5,5,5,0.12285456187895212,0.11894912158169021,0.0039054402972619057,0.0039054402972619057,2214
2,7,5,0.11599147121535182,0.11211990974535296,0.003871561469998855,0.003871561469998855,2345
7,1,6,0.1402390438247012,0.14403911244828882,-0.0038000686235876158,0.0038000686235876158,2510
1,4,4,0.10764734534827082,0.10385214634932574,0.003795198998945079,0.003795198998945079,2053
5,1,1,0.07698709945900957,0.07328211465105035,0.003704984807959222,0.003704984807959222,2403
5,3,4,0.1493273542600897,0.1530113361628969,-0.003683981902807193,0.003683981902807193,2230
5,7,0,0.1516431924882629,0.15531320511443,-0.0036700126261670907,0.0036700126261670907,2130
